text,sentiment
"Це був чудовий день, ми чудово провели час.",positive
"Мені подобається працювати в цій компанії.",positive
"Вона завжди така добра і привітна.",positive
"Наш відпочинок був неймовірним.",positive
"Я дуже задоволений своїм новим телефоном.",positive
"Вечірка була дуже веселою.",positive
"Ця їжа просто неймовірна.",positive
"Новий фільм виявився дуже цікавим.",positive
"Мій син виграв перше місце в конкурсі.",positive
"Книга, яку я прочитав, була захопливою.",positive
"Це був жахливий день, все пішло не так.",negative
"Я розчарований у цьому сервісі.",negative
"Вона постійно скаржиться і нічого не робить.",negative
"Відпустка була повністю зіпсована.",negative
"Мій новий телефон перестав працювати.",negative
"Ця їжа була огидною.",negative
"Фільм був дуже нудним.",negative
"Мій син програв у конкурсі.",negative
"Книга, яку я прочитав, була дуже нудною.",negative
"Я дуже розчарований в своїй покупці.",negative
"Сьогодні звичайний день, нічого особливого.",neutral
"На роботі все як завжди.",neutral
"Вона просто пройшла повз.",neutral
"Наша подорож була нормальною.",neutral
"Я задоволений своїм старим телефоном.",neutral
"Вечірка була нормальною.",neutral
"Ця їжа була просто їжею.",neutral
"Новий фільм був звичайним.",neutral
"Мій син взяв участь у конкурсі.",neutral
"Книга, яку я прочитав, була нормальною.",neutral
"День був в цілому непоганий, але без чогось особливого.",neutral_positive
"На роботі все добре, хоча іноді бувають проблеми.",neutral_positive
"Вона часто добра, хоча іноді може розсердитися.",neutral_positive
"Подорож була цікавою, але були деякі проблеми.",neutral_positive
"Новий телефон працює добре, але іноді підвисає.",neutral_positive
"Вечірка була веселою, хоча декілька людей пішли раніше.",neutral_positive
"Ця їжа була смачною, але трохи пересоленою.",neutral_positive
"Фільм був цікавим, хоча й затягнутим.",neutral_positive
"Мій син отримав друге місце в конкурсі.",neutral_positive
"Книга, яку я прочитав, була цікавою, але фінал розчарував.",neutral_positive
"День був поганим, але деякі моменти були приємними.",negative_neutral
"На роботі багато стресу, але іноді бувають хороші дні.",negative_neutral
"Вона часто дратується, але іноді буває дуже привітною.",negative_neutral
"Подорож була важкою, але ми знайшли кілька цікавих місць.",negative_neutral
"Новий телефон постійно глючить, але іноді працює нормально.",negative_neutral
"Вечірка була нудною, але деякі моменти були веселими.",negative_neutral
"Ця їжа була поганою, але десерт був смачним.",negative_neutral
"Фільм був жахливим, але актори грали добре.",negative_neutral
"Мій син не виграв, але отримав похвалу за участь.",negative_neutral
"Книга була важкою для читання, але деякі розділи були цікавими.",negative_neutral
